zillow_neighborhood,city,state,geoid,area_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,circuity_avg,cluster_coeff_avg,cluster_coeff_weighted_avg,count_intersections,degree_centrality_avg,edge_density_km,edge_length_avg,edge_length_total,intersect_density_km,k_avg,edge_count,node_count,node_density_km,pagerank_max,pagerank_min,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg,dead_end_count,dead_end_proportion,intersect_3way_count,intersect_3way_proportion,intersect_4way_count,intersect_4way_proportion
Beau Terra,Mobile,AL,0150000,6.477436821980753,2.5544217687074817,0.03037256460710945,1.0957070697507572,0.044217687074829926,0.003214876735999107,111,0.03075202683813252,6737.269956874658,132.24315302510482,43640,17.136407972877304,4.489795918367347,330,147,22.694161910026697,0.015645802852651877,0.001050788091068301,0.02424242424242424,3424.4559700204536,131.25264612699587,22181.697195462304,169,2.578231292517007,36.0,0.24489795918367346,101.0,0.6870748299319728,10.0,0.06802721088435375
Bell Aire,Mobile,AL,0150000,5.273375762371246,2.5774410774410783,0.02695504858121926,1.1016956597584016,0.030303030303030307,0.0021661894450941428,74,0.04452690166975876,5868.698385045859,143.2770917609635,30947,14.032756878058105,4.363636363636363,216,99,18.773553120645303,0.02144182732861596,0.0015282730514518598,0.009259259259259259,3102.875414129859,150.11585323422057,16362.628002530042,109,2.555555555555556,25.0,0.25252525252525254,69.0,0.696969696969697,4.0,0.04040404040404041
Bellewood,Mobile,AL,0150000,2.935594296322723,2.5943627450980387,0.028004967576072768,1.137040257882049,0.057598039215686264,0.006082026974560732,105,0.03387799564270147,15816.70745268694,149.29722245888385,46431,35.76788527335962,4.573529411764706,311,136,46.32792759216103,0.015528051902091888,0.0011671676144599935,0.02572347266881029,8045.330758143689,145.78905608417517,23617.82708563638,162,2.6323529411764706,31.0,0.22794117647058823,89.0,0.6544117647058824,14.0,0.10294117647058823
Bellfontaine,Mobile,AL,0150000,4.9156715595317575,2.5997150997151004,0.026097215598239118,1.0805627588801956,0.03988603988603988,0.01049552047380405,76,0.03860890067786624,7693.301089549565,144.3425242931813,37817,15.460756293335304,4.478632478632479,262,117,23.80142745158198,0.018191348729777363,0.0013303769401330381,0.0076335877862595426,3864.734942788034,143.9224821469071,18997.767643391737,132,2.376068376068376,41.0,0.3504273504273504,67.0,0.5726495726495726,9.0,0.07692307692307693
Bellmont,Mobile,AL,0150000,4.049860284970001,2.5030864197530867,0.024300349982247702,1.0559546545907244,0.02469135802469136,0.00526336049813593,57,0.05370370370370371,8097.648988306905,188.4732588469635,32794,14.074559611732932,4.296296296296297,174,81,20.00068997456785,0.02550253197246869,0.0018915510718789407,0.011494252873563218,4058.278258458896,186.76659027602162,16435.459944289905,88,2.4197530864197527,24.0,0.2962962962962963,56.0,0.691358024691358,1.0,0.012345679012345678
Belmeade,Mobile,AL,0150000,2.034895083205587,2.3895348837209305,0.030414571829179164,1.109278789947265,0.0,0.0,69,0.05225718194254445,11744.236421443524,125.12193167538952,23898,33.908382092753264,4.441860465116279,191,86,42.26262115908378,0.02691410005815284,0.0018348623853211012,0.07329842931937172,6140.169610683357,121.30680534784392,12494.600950827924,103,2.6511627906976742,17.0,0.19767441860465115,65.0,0.7558139534883721,4.0,0.046511627906976744
Berkleigh,Mobile,AL,0150000,3.221635060931161,2.3712446351931327,0.04057949652336037,1.0869193829197503,0.06366237482117312,0.0037760572403092397,217,0.019609294065413674,19925.610230489547,121.11895194149766,64193,67.35710156360159,4.549356223175965,530,233,72.32352379870585,0.013521496249809792,0.0007329553547659241,0.08490566037735849,11687.018811508535,110.09154842373665,37651.30956091793,342,3.0515021459227474,16.0,0.06866952789699571,168.0,0.721030042918455,42.0,0.18025751072961374
Beverly,Mobile,AL,0150000,9.337339661399263,1.6727272727272726,0.012192907969716308,1.2022243888084414,0.0,0.0,33,0.056565656565656576,1958.5891880189365,217.71443459139286,18288,3.5341972335463616,3.0545454545454547,84,55,5.890328722577269,0.040273556773230704,0.0031678986272439284,0.023809523809523808,1005.593605923916,218.3620711591369,9389.569059842885,43,2.2181818181818183,22.0,0.4,32.0,0.5818181818181818,1.0,0.01818181818181818
Bienville,Mobile,AL,0150000,5.2544510149991295,2.3496055226824466,0.031826552833912586,1.1196113805877126,0.028599605522682443,0.003430231744810589,131,0.026204564666103082,8788.698293070647,124.13920609286606,46179,24.931243935104362,4.402366863905326,372,169,32.163207824676626,0.016345343989467194,0.0009395552771688068,0.07526881720430108,4600.118544072321,116.76858721264313,24171.097553017124,207,2.5857988165680474,38.0,0.22485207100591717,125.0,0.7396449704142012,6.0,0.03550295857988166
Big Creek,Mobile,AL,0150000,3.4952112671174955,2.6836982968369827,0.03203786722777016,1.1564880339433254,0.07128953771289535,0.0069143952800157895,114,0.037355088020609634,11934.012955074422,119.86177167385712,41711,32.61605416316248,5.08029197080292,348,137,39.19648614344965,0.017411620263717825,0.001534896064400735,0.011494252873563218,6111.8116546754,121.37541453364479,21362.072957921486,176,2.7518248175182483,23.0,0.1678832116788321,103.0,0.7518248175182481,10.0,0.072992700729927
Blackstone,Mobile,AL,0150000,6.402166611001651,2.3457095709570956,0.023718601226817432,1.220067791148551,0.0462046204620462,0.0044353827234485926,66,0.04039603960396041,5711.795842523125,179.2542579993117,36567,10.309010060216783,4.03960396039604,204,101,15.775909334574163,0.023942095033019653,0.0015781167806417677,0.0392156862745098,3221.7185991730353,189.2291673914552,20625.979245668612,109,2.3663366336633658,35.0,0.3465346534653465,61.0,0.6039603960396039,4.0,0.039603960396039604
Bolton,Mobile,AL,0150000,2.824763609822892,2.2183908045977017,0.03884221239410288,1.0643104821908174,0.08429118773946359,0.0066158899547221215,79,0.0481154771451484,9226.683435867097,144.79555338329453,26063,27.966941985971406,4.137931034482759,180,87,30.79903737695585,0.042689451420688536,0.0018693710993834493,0.0,5139.199513386595,128.4692368941059,14517.023769033967,113,2.9885057471264367,8.0,0.09195402298850575,61.0,0.7011494252873564,15.0,0.1724137931034483
Brookley Industrial Park,Mobile,AL,0150000,8.416192221233864,2.6985294117647056,0.03705900592401712,1.0784985506832705,0.05441176470588237,0.0019676833402330453,160,0.02458224669178019,8903.957782969283,147.22479416742792,74937,19.01097263395715,4.9901960784313735,509,204,24.23899010829536,0.01599880554644988,0.0007578914997639268,0.019646365422396856,4711.868144318734,146.87402971738874,39655.98802369497,270,2.67156862745098,44.0,0.21568627450980393,140.0,0.6862745098039216,19.0,0.09313725490196079
Brookwood,Mobile,AL,0150000,2.8702679901270303,2.360074626865672,0.02683398245902215,1.09549063867249,0.06467661691542287,0.007814713209052809,119,0.03377847604084836,15453.441151977175,147.36052317552117,44355,41.4595432932844,4.492537313432836,301,134,46.68553614537907,0.024798265026792842,0.0011568974417753256,0.0132890365448505,8420.598522712378,137.32599089461542,24169.374397452306,176,2.9477611940298507,15.0,0.11194029850746269,94.0,0.7014925373134329,24.0,0.1791044776119403
Camelia,Mobile,AL,0150000,3.428383038872788,2.181216931216931,0.02498348460029773,1.1831818491019517,0.031746031746031744,0.003482718865513502,41,0.06144393241167431,4473.130664550425,127.79671084172031,15335,11.958990443926686,3.809523809523809,120,63,18.376009706521494,0.037796770277784685,0.0024813895781637717,0.03333333333333333,2344.548212477593,129.6453117012531,8038.00932547769,62,2.3492063492063493,22.0,0.3492063492063492,38.0,0.6031746031746031,3.0,0.047619047619047616
Canterbury,Mobile,AL,0150000,4.508416132874612,2.587552742616033,0.034267177665446416,1.1403663178998231,0.0590717299578059,0.004779692889548235,131,0.03047649762154325,9769.566967981027,116.52188711546185,44045,29.056767640584468,4.784810126582278,378,158,35.04556707795684,0.01439223888022527,0.0009493670886075949,0.052910052910052914,5316.106066570473,113.58871258103753,23967.21835459892,211,2.7025316455696204,27.0,0.17088607594936708,124.0,0.7848101265822784,7.0,0.04430379746835443
Carlen,Mobile,AL,0150000,2.9449280973561223,2.769713261648746,0.03025149089284758,1.044807838539922,0.04587813620071685,0.005004541191116817,174,0.028480092996222,20814.799753998,125.09814007426534,61298,59.08463441135033,5.268817204301075,490,186,63.1594367845469,0.011984183991531124,0.0008249408289713177,0.0163265306122449,10972.718646268757,123.80792124820036,32313.867445780288,261,3.177419354838709,12.0,0.06451612903225806,119.0,0.6397849462365591,53.0,0.2849462365591398
Carver,Mobile,AL,0150000,2.394040949602039,2.8930260047281315,0.02694259068783014,1.0829707527763397,0.034278959810874705,0.009283091758695784,123,0.038297872340425455,21460.78984016714,135.92066055069722,51378,51.37756729701982,5.3617021276595755,378,141,58.89623568194955,0.014422785544863441,0.0010702818408847663,0.018518518518518517,11033.900120213451,135.4646601108198,26415.608721609864,195,2.8936170212765964,18.0,0.1276595744680851,102.0,0.723404255319149,21.0,0.14893617021276595
Cedar Grove,Mobile,AL,0150000,5.104785797349736,2.2741545893719812,0.02581062738552379,1.136225140170094,0.018115942028985508,0.0007514075236945361,94,0.028350788109594887,9381.032200282521,178.68716395702518,47888,18.41409291821847,3.8840579710144927,268,138,27.033455560788816,0.015860590330858945,0.0011832725528736134,0.00746268656716418,5787.527463807141,205.16727777093217,29544.087999014235,144,2.4130434782608696,44.0,0.3188405797101449,87.0,0.6304347826086957,7.0,0.050724637681159424
Central Business District,Mobile,AL,0150000,2.380989701418027,2.568852459016392,0.0358697444206884,1.0173410901405335,0.05901639344262295,0.004827287840095303,289,0.01585418464193269,27944.787362515035,90.5255114536938,66536,121.37809744741129,4.819672131147541,735,305,128.09799211578007,0.010647479462685345,0.0005142557836230018,0.0,20268.871030726597,93.89099841153737,48259.973183530215,514,3.5344262295081967,16.0,0.05245901639344262,94.0,0.3081967213114754,192.0,0.6295081967213115
Churchill,Mobile,AL,0150000,4.7449632825370465,2.465686274509804,0.02382466798682771,1.0381805019197647,0.0392156862745098,0.00615944268840875,47,0.06233538191395961,5722.26897117214,191.2109588803721,27151,9.905239977930863,4.176470588235294,142,68,14.330985499985076,0.032999927299090195,0.002291825821237586,0.014084507042253518,2886.5710041545813,190.2315753770775,13696.67342714958,72,2.485294117647059,21.0,0.3088235294117647,40.0,0.5882352941176471,7.0,0.10294117647058823
Claremont,Mobile,AL,0150000,2.7496897672430385,2.3747203579418343,0.033101365673736415,1.1542965541354824,0.033557046979865765,0.004894515786163364,135,0.032559405042626464,13196.838965357534,101.078587919214,36287,49.096447755034205,4.818791946308725,359,149,54.18793122592664,0.016390871520146733,0.0010435133801075288,0.17270194986072426,7538.929289393697,92.54337822774413,20729.716723014684,224,2.8456375838926173,14.0,0.09395973154362416,130.0,0.87248322147651,5.0,0.03355704697986577
Cody,Mobile,AL,0150000,3.147664180460064,2.7580645161290325,0.02866784918502085,1.0594340778242548,0.03333333333333333,0.0062596453486731774,122,0.03259321323837455,16393.953873074814,132.65465651000548,51602,38.758899617483465,5.019354838709678,389,155,49.24286426811425,0.012790773347971079,0.0009784735812133074,0.04627249357326478,8386.44934880813,129.4006187082646,26397.726216485982,204,2.7032258064516133,33.0,0.2129032258064516,102.0,0.6580645161290323,20.0,0.12903225806451613
College Park,Mobile,AL,0150000,4.9474461614551135,2.567148760330578,0.1006427629098158,1.1096723930656898,0.04834710743801654,0.0022034952407070686,207,0.019375192894619482,15678.503892838806,137.2894759327158,77568,41.839768083321275,4.669421487603307,565,242,48.914125005621955,0.010755352825494478,0.0006356434958668126,0.01592920353982301,8457.394977493277,135.4126418035886,41842.50631730888,309,2.7851239669421486,35.0,0.1446280991735537,150.0,0.6198347107438017,36.0,0.1487603305785124
Colonial Heights,Mobile,AL,0150000,4.71805254903701,2.620020964360587,0.02922957839586605,1.138234927194863,0.0471698113207547,0.0043878477275388576,125,0.030411591433803124,11824.219507869011,146.04002353265582,55787,26.493982146407728,4.805031446540879,382,159,33.70034529023063,0.017240563733964532,0.0009717443668423556,0.031413612565445025,6290.330062682966,146.92132567586881,29678.1077865255,202,2.616352201257861,34.0,0.2138364779874214,118.0,0.7421383647798742,7.0,0.0440251572327044
Cottage Park,Mobile,AL,0150000,5.555178371261473,2.6361416361416365,0.030287637029032862,1.0798248667679788,0.020146520146520148,0.006261738920902853,188,0.01659125188536954,14645.86046989139,132.07851836177602,81360,33.84229766096761,4.512820512820513,616,273,49.14333649704339,0.008845019907329412,0.0005511666360462982,0.03571428571428571,7514.154796170539,130.44521938124137,41742.47020199724,320,2.413919413919414,85.0,0.31135531135531136,178.0,0.652014652014652,10.0,0.03663003663003663
Country Club,Mobile,AL,0150000,2.9153719486458094,2.2535971223021583,0.08674801321085812,1.094340732447886,0.10191846522781776,0.016512265742053105,127,0.03065373787926187,12669.782021920502,125.63648674205449,36937,43.562194545705054,4.23021582733813,294,139,47.67830741616538,0.01677320905075466,0.001177531413017091,0.017006802721088437,6889.0452069566345,117.45104765680841,20084.12914931424,171,2.9280575539568345,12.0,0.08633093525179857,109.0,0.7841726618705036,16.0,0.11510791366906475
Crestview,Mobile,AL,0150000,4.334132990659727,2.697916666666667,0.02308295290185808,1.0949036037378586,0.10416666666666666,0.019061068307726973,62,0.05854430379746841,8038.319423727334,188.31970488560825,34839,14.305052506144389,4.625,185,80,18.45813226599276,0.035476602660578414,0.002024707243494652,0.021621621621621626,4371.950237836574,185.7707231306876,18948.613759330136,102,2.7625,18.0,0.225,45.0,0.5625,17.0,0.2125
Cypress Branch,Mobile,AL,0150000,5.254880029538448,1.9532520325203253,0.01992661840576736,1.1714757914858454,0.08130081300813008,0.024129193307765508,27,0.09268292682926826,2498.317800393747,172.74158311486218,13128,5.138081145188673,3.7073170731707314,76,41,7.802271368619838,0.056445790738912975,0.00427960057061341,0.07894736842105263,1315.521121191107,168.6074553215409,6912.905668183177,41,2.365853658536585,14.0,0.34146341463414637,25.0,0.6097560975609756,2.0,0.04878048780487805
Cypress Shores,Mobile,AL,0150000,5.750443301543382,2.6722868217054248,0.0268665492680426,1.082458466572535,0.028100775193798447,0.0041302444128662975,123,0.02801577587379305,10984.135493768536,153.30982614899563,63163,21.389655292660233,4.790697674418603,412,172,29.91073748241919,0.01434650480073224,0.0008981941333081511,0.029126213592233014,5741.759206404652,154.28813442777889,33017.66076754468,214,2.5,49.0,0.28488372093023256,112.0,0.6511627906976745,10.0,0.05813953488372093
D Iberville,Mobile,AL,0150000,5.7760699581414725,2.358641975308643,0.030882660481857564,1.1290003802625812,0.051851851851851836,0.005223559090454182,96,0.032504145936981706,7178.663432774727,141.03558569271712,41464,16.620297312134582,4.355555555555555,294,135,23.372293095189253,0.01791007669348115,0.0011472275334608033,0.08163265306122447,3740.002944154032,134.1771344663898,21602.51864908876,161,2.466666666666667,39.0,0.28888888888888886,86.0,0.6370370370370371,8.0,0.05925925925925926
Dauphin Acres,Mobile,AL,0150000,3.3178196553290937,2.4148451730418943,0.02990923032192924,1.1487527846863237,0.06375227686703096,0.008046260219538522,175,0.026121419564042462,18755.12085389739,143.04852553363992,62226,52.74548293151328,4.754098360655738,435,183,55.15670500838245,0.01859116450061935,0.0008501417203449197,0.013793103448275862,10165.83048914107,132.7889457071497,33728.392209616024,254,3.114754098360656,8.0,0.04371584699453552,141.0,0.7704918032786885,31.0,0.16939890710382513
Dawes,Mobile,AL,0150000,8.305736216512548,2.447688564476885,0.027649062232260074,1.0871646553875418,0.07785888077858882,0.0034609229859959077,84,0.02962644911979385,4879.975232611037,146.85430081587586,40531,10.11349238770676,4.029197080291971,276,137,16.49462448947412,0.018692120474674827,0.001152073732718894,0.014492753623188406,2467.070616963493,144.301674450758,20490.837772007642,142,2.240875912408759,53.0,0.38686131386861317,82.0,0.5985401459854015,2.0,0.014598540145985401
Deer River,Mobile,AL,0150000,8.133905635355342,2.508974358974359,0.01728886705574194,1.0855321784156156,0.0,0.0,39,0.06346153846153846,4629.759660717219,285.2880923837017,37658,4.794744584997416,4.061538461538461,132,65,7.991240974995695,0.03198503903838285,0.0026232042335305327,0.0,2314.8798303586505,285.2880923837067,18829.014097324645,66,2.261538461538461,26.0,0.4,35.0,0.5384615384615384,4.0,0.06153846153846154
Devonshire,Mobile,AL,0150000,4.516134789108042,2.5121359223300965,0.023791590824802717,1.062506415106935,0.035598705501618116,0.0076125500078620045,75,0.0418808300019036,7131.948102139693,146.4038133553916,32208,16.607121687528913,4.271844660194175,220,103,22.80711378420638,0.023807926061160157,0.0015189873417721519,0.00909090909090909,3599.3834564798185,145.13661470668268,16255.300847148459,112,2.504854368932039,28.0,0.27184466019417475,70.0,0.6796116504854369,5.0,0.04854368932038835
Di Grado,Mobile,AL,0150000,3.7535386170945584,2.3703703703703707,0.030322773102283825,1.1894517848343011,0.037037037037037035,0.010255898763946794,106,0.03394140409065779,10217.841706358096,124.92854536864648,38353,28.24001850340619,4.548148148148148,307,135,35.966061301507885,0.01814950025980676,0.0011398176291793315,0.10749185667752444,5406.3777019763675,118.67279229805399,20293.04748296723,171,2.5703703703703704,29.0,0.21481481481481482,102.0,0.7555555555555555,2.0,0.014814814814814815
Driftwood,Mobile,AL,0150000,2.70172618370506,2.5022222222222217,0.03564943748552316,1.0928903955973326,0.06222222222222223,0.001460504142853608,56,0.06054054054054055,7615.7999151488975,122.47503595605087,20575,20.727489091142246,4.48,168,75,27.760030032779788,0.03275360631583036,0.0020949720670391065,0.03571428571428571,3956.375397817918,122.86256327415165,10689.043004851192,87,2.493333333333333,19.0,0.25333333333333335,56.0,0.7466666666666667,,
Edington,Mobile,AL,0150000,5.1711659061532425,2.2530864197530867,0.018313802373903617,1.2008700079335752,0.018518518518518517,0.002458998007207205,31,0.07127882599580712,3092.7311022671242,156.79436895042642,15993,5.9947796227370445,3.7777777777777777,102,54,10.44251934283227,0.042208227469880524,0.002964426877470356,0.0196078431372549,1563.1044820308691,155.44370394679532,8083.072605233356,52,2.1666666666666665,23.0,0.42592592592592593,30.0,0.5555555555555556,1.0,0.018518518518518517
Ferry,Mobile,AL,0150000,4.915027710711406,2.531862745098039,0.022086181858362933,1.175045196762892,0.08660130718954248,0.01206146503012481,79,0.046204620462046236,7517.604046970398,155.24887482779712,36949,16.073154547599785,4.666666666666667,238,102,20.75268055512884,0.023092305110456082,0.0015479876160990713,0.01680672268907563,3782.195905499549,153.63303870140086,18589.597682869506,121,2.656862745098039,23.0,0.22549019607843138,68.0,0.6666666666666666,11.0,0.10784313725490197
Fire Tower,Mobile,AL,0150000,2.961701243055773,2.3849206349206358,0.029833669704495736,1.1654525060284395,0.031746031746031744,0.0078030081586165515,54,0.04876649454962706,7856.987921103161,136.8826523094437,23270,18.23276406646769,4.047619047619048,170,84,28.362077436727525,0.036049192932481634,0.0018039687312086594,0.011764705882352941,4170.114026457203,141.9612861591105,12350.631895842613,87,2.321428571428572,30.0,0.35714285714285715,51.0,0.6071428571428571,3.0,0.03571428571428571
Fisher,Mobile,AL,0150000,1.9170762925559144,3.175840978593272,0.033101315134315884,1.0306123217888128,0.02446483180428135,0.004731191654429179,96,0.05232755691471283,17493.17865700468,108.88233144411942,33535,50.07625433206385,5.651376146788992,308,109,56.85741377286416,0.016625030999616743,0.0024709874784226674,0.0,8746.58932850338,108.88233144413236,16767.879042396384,154,3.110091743119266,13.0,0.11926605504587157,58.0,0.5321100917431193,38.0,0.3486238532110092
Forest Highland,Mobile,AL,0150000,3.8287712613254703,2.424418604651163,0.0278516795847791,1.100363922309533,0.062015503875969005,0.0066701252770616495,70,0.05335157318741448,7287.1578402954,143.08133597777234,27900,18.282627825556474,4.5348837209302335,195,86,22.46151418568367,0.025368765124670664,0.001853060441132497,0.04102564102564103,3772.144508212873,137.5493189201157,14442.678486612149,105,2.7209302325581395,16.0,0.18604651162790697,58.0,0.6744186046511628,10.0,0.11627906976744186
Fowl River,Mobile,AL,0150000,9.394246423799776,2.4564564564564564,0.022285513505292013,1.0700174932758637,0.07207207207207204,0.005120397212570438,79,0.038329238329238326,5268.853381610437,211.52524375093682,49496,8.409402567922648,4.216216216216216,234,111,11.815742848600175,0.02947380491453063,0.0014608691274266494,0.042735042735042736,3075.428459665926,215.6069612602141,28891.332808868683,134,2.5135135135135136,32.0,0.2882882882882883,69.0,0.6216216216216216,10.0,0.09009009009009009
Garland,Mobile,AL,0150000,4.580016416217656,2.525252525252526,0.02019070330701904,1.156126813647686,0.030303030303030307,0.0016508793495711956,73,0.045763760049474286,8596.094674327991,177.3434897467719,39370,15.93880749892291,4.4848484848484835,222,99,21.615643046484493,0.021590804189972397,0.001569037656903766,0.045045045045045036,4562.1178700582395,180.12564428954022,20894.574737586667,116,2.5353535353535355,26.0,0.26262626262626265,67.0,0.6767676767676768,6.0,0.06060606060606061
Georgia Avenue,Mobile,AL,0150000,0.8275452135565107,2.4627659574468086,0.02013933745706934,1.0007131232779929,0.02127659574468085,0.002301183494182131,43,0.0962072155411656,17748.97301739783,141.23151602010805,14688,51.96090714512199,4.425531914893617,104,47,56.79447990280776,0.04507373620094213,0.003516599771032245,0.0,9290.119869840322,134.87709178337886,7687.994231652593,57,3.191489361702128,4.0,0.0851063829787234,27.0,0.574468085106383,15.0,0.3191489361702128
Glen Acres,Mobile,AL,0150000,6.008425453574349,2.3949096880131364,0.0302075463009716,1.106916153865592,0.029556650246305414,0.002339179446866913,117,0.019899526898502672,7371.212262006032,108.55240043807942,44289,19.472655673941656,4.019704433497537,408,203,33.78588975906116,0.013005558351236374,0.0007814535035165411,0.014705882352941175,3825.086581648539,111.02776608358832,22982.747579302784,207,2.1921182266009853,86.0,0.4236453201970443,109.0,0.5369458128078818,8.0,0.03940886699507389
